Fips,Target
13311,0
17193,1
17193,0
18181,1
18181,0
47185,1
47185,0
5147,1
5149,1
4001,0
4003,1
4005,1
4007,1
4009,1
4009,0
20065,1
20065,0
37075,1
37075,0
4011,1
4013,1
4015,0
4017,0
4019,1
4021,1
4023,1
6087,1
4025,0
4027,0
4027,1
8125,0
8125,1
6001,1
6003,1
6005,0
6007,1
6007,0
16023,1
16023,0
46019,1
46019,0
6009,1
6011,1
6013,0
6015,1
6017,1
6019,1
6021,1
6023,1
6023,0
19091,1
19091,0
32013,1
32013,0
6025,1
6027,1
6029,1
6031,0
36047,0
6033,1
6033,0
8065,1
8065,0
12069,1
12069,0
17097,1
17097,0
18089,1
18089,0
26085,1
26085,0
27075,1
27075,0
30047,1
30047,0
39085,1
39085,0
41037,1
41037,0
46079,1
46079,0
47095,1
47095,0
6035,1
6037,0
6039,1
6041,0
6043,1
6045,0
6047,1
6049,1
6051,1
6053,0
6055,1
6059,1
6059,0
12095,1
12095,0
18117,1
18117,0
37135,1
37135,0
36071,1
36071,0
48361,1
48361,0
51137,1
51137,0
50017,1
50017,0
6061,1
6063,1
6065,1
6067,1
6069,1
6071,1
6073,1
6075,1
6077,1
6079,1
6081,0
6083,1
6085,0
6089,1
6091,0
35051,0
6093,0
6095,0
6097,0
6099,1
6101,1
6103,1
6105,0
48455,0
6107,1
6109,0
6111,1
6113,1
6115,1
8001,1
8001,0
19003,1
19003,0
16003,1
16003,0
17001,1
17001,0
18001,1
18001,0
28001,1
28001,0
38001,1
38001,0
31001,1
31001,0
39001,1
39001,0
42001,1
42001,0
53001,1
53001,0
55001,1
55001,0
8003,1
8005,0
8007,1
8009,0
8011,1
8013,1
8014,1
8015,0
8017,0
8017,1
20023,0
20023,1
31033,0
31033,1
8019,1
8021,0
8023,1
8025,0
8027,0
8027,1
16037,0
16037,1
30017,0
30017,1
31041,0
31041,1
40039,0
40039,1
46033,0
46033,1
8029,1
8029,0
26041,1
26041,0
48119,1
48119,0
8031,0
8033,0
8035,1
8035,0
13097,1
13097,0
17041,1
17041,0
20045,1
20045,0
27041,1
27041,0
29067,1
29067,0
31055,1
31055,0
32005,1
32005,0
41019,1
41019,0
46043,1
46043,0
53017,1
53017,0
55031,1
55031,0
8037,1
8039,1
8039,0
13105,1
13105,0
8041,1
48141,1
8043,1
8043,0
19071,1
19071,0
16043,1
16043,0
56013,1
56013,0
8045,1
8045,0
31071,1
31071,0
40047,1
40047,0
49017,1
49017,0
53023,1
53023,0
8047,0
8049,1
8049,0
49019,1
49019,0
8051,0
8055,0
8061,0
8061,1
20097,0
20097,1
40075,0
40075,1
8063,0
8067,1
8069,1
8071,1
8077,1
8079,1
30061,1
32021,1
54057,1
8081,0
8083,1
8085,0
8089,1
35035,1
8091,0
8093,1
30067,1
56029,1
8097,0
8099,1
8101,0
8103,0
8105,0
8107,1
8109,0
8111,0
8111,1
35045,0
35045,1
49037,0
49037,1
53055,0
53055,1
8113,0
35047,0
8115,1
20173,1
8117,1
39153,1
49043,1
8119,1
8123,1
9001,1
39045,1
45039,1
9003,1
9005,1
9007,0
9007,1
25017,0
25017,1
34023,0
34023,1
51119,0
51119,1
9009,1
9011,0
9013,0
9015,1
50025,1
10001,1
10001,0
24029,1
24029,0
26081,1
26081,0
44003,1
44003,0
10003,1
10005,0
10005,1
34037,0
34037,1
51183,0
51183,1
12001,1
12003,1
12003,0
41001,1
41001,0
12005,0
26017,0
12007,1
42015,1
12009,1
12011,0
12015,0
12015,1
51037,0
51037,1
12017,0
12021,1
12029,0
12031,1
48131,1
12035,1
12039,0
12041,0
12043,1
12045,0
12047,1
12047,0
19079,1
19079,0
17065,1
17065,0
18057,1
18057,0
20075,1
20075,0
31081,1
31081,0
36041,1
36041,0
39061,1
39061,0
47065,1
47065,0
48193,1
48193,0
12049,0
12051,0
12053,1
12055,1
12057,0
12057,1
