Fips,target
5111,0
1111,1
5121,1
13243,1
17157,1
18135,1
29175,1
37151,1
54083,1
5145,0
13311,1
17193,0
18181,0
47185,0
5007,1
18007,1
19011,1
27009,1
28009,1
29015,1
41003,1
47005,1
53005,0
5009,0
17007,1
18011,0
19015,0
21015,1
29019,0
31011,0
54005,0
5015,0
13045,0
17015,0
18015,0
19027,0
21041,1
24013,0
28015,0
29033,0
33003,0
39019,0
47017,0
51035,0
1089,0
5087,0
12079,0
13195,0
16065,0
17119,0
18095,0
19121,0
21151,0
28089,0
29123,0
30057,0
31119,0
36053,0
37115,0
39097,0
47113,0
48313,0
51113,0
5101,0
13217,0
18111,0
28101,0
